number_of_activated_point;timestamp;xpoint;ypoint;pressure
2;101289211784482;845.0944;827.22754;1.0
2;101289211784482;840.0;757.52325;1.0
2;101289211784482;839.09216;750.2764;1.0
2;101289211784482;839.0;744.0;1.0
2;101289211784482;815.0;766.0;1.0
5;101289474996097;815.0;766.0;1.0
5;101289474996097;815.0;766.0;1.0
5;101289474996097;815.0;766.0;1.0
5;101289474996097;815.0;788.89795;1.0
5;101289474996097;816.8974;808.07635;1.0
5;101289474996097;818.8433;823.7465;1.0
5;101289474996097;822.7479;841.86554;1.0
5;101289474996097;826.7459;858.98364;1.0
5;101289474996097;829.7395;878.56714;1.0
5;101289474996097;833.7705;903.5082;1.0
5;101289474996097;835.8776;933.16473;1.0
5;101289474996097;837.9078;965.4324;1.0
5;101289474996097;839.8727;997.9632;1.0
8;101289622474586;841.88434;1031.0342;1.0
8;101289622474586;843.85114;1065.4689;1.0
8;101289622474586;846.63745;1101.5559;1.0
8;101289622474586;848.9009;1139.2156;1.0
8;101289622474586;849.0;1174.3634;1.0
8;101289622474586;849.0;1206.298;1.0
8;101289622474586;847.0957;1236.5645;1.0
8;101289622474586;845.09033;1264.8259;1.0
8;101289622474586;843.0938;1286.0616;1.0
7;101289872216618;841.091;1303.272;1.0
7;101289872216618;839.103;1316.3817;1.0
7;101289872216618;837.09076;1325.637;1.0
7;101289872216618;835.08734;1332.738;1.0
7;101289872216618;833.09045;1337.8191;1.0
7;101289872216618;830.1918;1341.8082;1.0
7;101289872216618;826.1941;1343.903;1.0
7;101289872216618;818.50415;1346.7983;1.0
7;101289872216618;800.9032;1350.8193;1.0
7;101289872216618;775.41;1354.7986;1.0
7;101289872216618;744.0753;1357.8191;1.0
7;101289872216618;705.044;1360.8925;1.0
7;101289872216618;667.0816;1362.0;1.0
7;101289872216618;628.9978;1362.0;1.0
7;101289872216618;592.7653;1360.098;1.0
6;101290004396670;557.7529;1358.1031;1.0
6;101290004396670;523.8957;1355.1115;1.0
6;101290004396670;490.41098;1351.1764;1.0
6;101290004396670;459.87436;1348.125;1.0
6;101290004396670;429.94162;1345.1213;1.0
6;101290004396670;400.3245;1343.1549;1.0
6;101290004396670;369.82822;1341.1218;1.0
6;101290004396670;340.2967;1339.0927;1.0
