number_of_activated_point;timestamp;xpoint;ypoint;pressure
2;377456281538642;319.6347;1310.0907;1.0
2;377456281538642;308.39145;1307.1566;1.0
2;377456281538642;285.10062;1294.1006;1.0
2;377456281538642;284.0;1294.0;1.0
2;377456281538642;867.0;798.0;1.0
1;377456495049892;867.0;798.0;1.0
1;377456495049892;867.0;798.0;1.0
1;377456495049892;837.4087;801.89935;1.0
1;377456495049892;807.0634;801.12897;1.0
1;377456495049892;767.8365;797.2623;1.0
1;377456495049892;723.28986;790.39825;1.0
1;377456495049892;674.1135;782.49817;1.0
1;377456495049892;623.4084;776.289;1.0
0;377456628767287;572.9135;773.07654;1.0
0;377456628767287;525.6508;772.0;1.0
0;377456628767287;481.96887;772.9105;1.0
0;377456628767287;442.5907;774.8705;1.0
0;377456628767287;405.9885;776.88306;1.0
0;377456628767287;374.5292;778.8981;1.0
0;377456628767287;347.1063;780.9149;1.0
0;377456628767287;324.8115;785.75653;1.0
3;377456762247183;307.70044;791.7373;1.0
3;377456762247183;293.603;798.65546;1.0
3;377456762247183;280.67395;811.22974;1.0
3;377456762247183;264.88458;835.452;1.0
3;377456762247183;248.94969;867.86316;1.0
3;377456762247183;233.8533;909.4401;1.0
3;377456762247183;220.71623;957.1351;1.0
3;377456762247183;211.39879;1004.6073;1.0
6;377456894169944;204.2793;1049.9518;1.0
6;377456894169944;199.17276;1094.0996;1.0
6;377456894169944;195.17534;1136.1589;1.0
6;377456894169944;192.1983;1176.0171;1.0
6;377456894169944;190.12836;1210.818;1.0
6;377456894169944;190.0;1242.5825;1.0
6;377456894169944;190.0;1264.909;1.0
6;377456894169944;190.8793;1281.1552;1.0
7;377457077320516;193.80682;1291.6136;1.0
7;377457077320516;199.70619;1301.5103;1.0
7;377457077320516;208.5766;1311.5767;1.0
7;377457077320516;226.11514;1324.3806;1.0
7;377457077320516;253.03902;1339.0848;1.0
7;377457077320516;288.22342;1349.5065;1.0
7;377457077320516;329.7277;1354.7836;1.0
7;377457077320516;369.65704;1356.0;1.0
7;377457077320516;410.01575;1354.1045;1.0
7;377457077320516;447.672;1351.2328;1.0
7;377457077320516;486.1218;1348.1978;1.0
8;377457210109631;523.28436;1345.0903;1.0
8;377457210109631;559.07227;1343.107;1.0
8;377457210109631;591.4107;1341.0994;1.0
8;377457210109631;623.42706;1340.0;1.0
8;377457210109631;653.49396;1340.0;1.0
8;377457210109631;684.37585;1340.0;1.0
8;377457210109631;715.4305;1340.8954;1.0
8;377457210109631;747.4657;1342.904;1.0
