number_of_activated_point;timestamp;xpoint;ypoint;pressure
8;376643687019629;860.0;1353.0;1.0
7;376643843132233;860.0;1353.0;1.0
7;376643843132233;839.6764;1352.0;1.0
7;376643843132233;815.9294;1352.0;1.0
7;376643843132233;789.1717;1353.0;1.0
7;376643843132233;754.34845;1354.8763;1.0
7;376643843132233;706.1379;1355.0;1.0
7;376643843132233;655.2119;1352.257;1.0
7;376643843132233;609.54205;1347.483;1.0
6;376643961639524;569.503;1340.527;1.0
6;376643961639524;533.05133;1334.362;1.0
6;376643961639524;495.12616;1326.4476;1.0
6;376643961639524;450.70755;1319.4513;1.0
6;376643961639524;398.1072;1313.3452;1.0
6;376643961639524;346.06836;1307.4695;1.0
6;376643961639524;302.99567;1301.473;1.0
3;376644208438847;270.85895;1294.5311;1.0
3;376644208438847;248.25778;1283.7546;1.0
3;376644208438847;230.85214;1269.7456;1.0
3;376644208438847;215.70769;1252.9099;1.0
3;376644208438847;200.02867;1225.0574;1.0
3;376644208438847;185.72386;1188.9647;1.0
3;376644208438847;175.46584;1146.4457;1.0
3;376644208438847;169.22511;1109.0261;1.0
3;376644208438847;167.12389;1075.106;1.0
3;376644208438847;167.0;1044.9;1.0
3;376644208438847;169.67628;1014.5898;1.0
3;376644208438847;176.50064;981.12225;1.0
3;376644208438847;185.38965;944.31934;1.0
3;376644208438847;198.1496;906.3082;1.0
3;376644208438847;214.07011;869.976;1.0
1;376644458294681;227.25784;841.4843;1.0
1;376644458294681;238.31326;822.23615;1.0
1;376644458294681;246.53706;808.6944;1.0
1;376644458294681;254.51254;798.6093;1.0
1;376644458294681;263.34015;788.65985;1.0
1;376644458294681;276.9754;775.89655;1.0
1;376644458294681;295.76535;762.7408;1.0
1;376644458294681;313.8623;751.6321;1.0
1;376644458294681;331.92343;742.47845;1.0
1;376644458294681;348.6343;737.30347;1.0
1;376644458294681;365.81885;734.1312;1.0
1;376644458294681;385.67053;734.87915;1.0
1;376644458294681;413.45123;737.6814;1.0
1;376644458294681;455.1891;742.5236;1.0
1;376644458294681;508.12424;748.4776;1.0
2;376644574554785;563.81104;757.3867;1.0
2;376644574554785;609.84985;766.59045;1.0
2;376644574554785;648.03436;774.5632;1.0
2;376644574554785;680.4625;780.6925;1.0
2;376644574554785;707.2351;786.5927;1.0
2;376644574554785;732.7773;792.69434;1.0
2;376644574554785;754.8328;798.6817;1.0
5;376644873603170;775.9047;804.67145;1.0
5;376644873603170;792.2604;808.7887;1.0
5;376644873603170;805.31586;812.772;1.0
5;376644873603170;813.6279;816.81396;1.0
5;376644873603170;819.72595;822.72595;1.0
5;376644873603170;825.70917;829.6122;1.0
5;376644873603170;832.67554;841.35114;1.0
5;376644873603170;838.6395;853.27905;1.0
5;376644873603170;844.6972;865.3944;1.0
5;376644873603170;850.562;877.97797;1.0
5;376644873603170;856.6634;894.9902;1.0
5;376644873603170;861.7594;914.79706;1.0
5;376644873603170;865.6549;932.44714;1.0
5;376644873603170;869.82367;950.29456;1.0
5;376644873603170;872.8951;965.2654;1.0
5;376644873603170;874.82007;977.9202;1.0
5;376644873603170;876.89636;987.5855;1.0
5;376644873603170;877.0;992.78064;1.0
4;376645587745826;877.0;995.9075;1.0
4;376645587745826;877.0;997.5;1.0
4;376645587745826;875.1225;997.0;1.0
4;376645587745826;873.1426;998.8574;1.0
4;376645587745826;869.2314;1001.7686;1.0
4;376645587745826;862.47815;1005.7609;1.0
4;376645587745826;851.6421;1011.67896;1.0
4;376645587745826;837.7698;1015.7801;1.0
4;376645587745826;818.0587;1019.8075;1.0
4;376645587745826;792.6695;1021.88074;1.0
4;376645587745826;761.35565;1023.8528;1.0
4;376645587745826;727.72;1024.84;1.0
4;376645587745826;690.78534;1026.0;1.0
4;376645587745826;656.33026;1027.8629;1.0
4;376645587745826;622.54553;1030.7006;1.0
