number_of_activated_point;timestamp;xpoint;ypoint;pressure
0;377196513659991;230.54305;821.59937;1.0
0;377196513659991;237.70776;798.9741;1.0
0;377196513659991;243.92256;772.3872;1.0
0;377196513659991;245.91223;765.2633;1.0
0;377196513659991;287.0;784.0;1.0
3;377196650904157;287.0;784.0;1.0
3;377196650904157;289.86264;803.0842;1.0
3;377196650904157;291.0;851.33234;1.0
3;377196650904157;288.2383;912.18677;1.0
3;377196650904157;282.38782;979.734;1.0
3;377196650904157;277.42874;1043.14;1.0
6;377196782701657;274.17816;1103.8335;1.0
6;377196782701657;273.0;1151.5419;1.0
6;377196782701657;273.0;1185.7693;1.0
6;377196782701657;273.0;1211.8588;1.0
6;377196782701657;273.88754;1226.3253;1.0
6;377196782701657;275.87582;1238.255;1.0
6;377196782701657;278.738;1252.952;1.0
6;377196782701657;285.46603;1270.7986;1.0
7;377196915795303;295.29523;1289.8254;1.0
7;377196915795303;310.086;1310.7433;1.0
7;377196915795303;331.88034;1332.9736;1.0
7;377196915795303;360.5621;1354.0414;1.0
7;377196915795303;392.46686;1368.425;1.0
7;377196915795303;424.4942;1375.7177;1.0
7;377196915795303;455.66052;1378.9163;1.0
7;377196915795303;487.5448;1379.0;1.0
4;377197098469470;515.263;1377.1337;1.0
4;377197098469470;541.11346;1375.0739;1.0
4;377197098469470;559.4119;1373.0735;1.0
4;377197098469470;571.28925;1372.0;1.0
4;377197098469470;578.7824;1371.0;1.0
4;377197098469470;583.8238;1369.0881;1.0
4;377197098469470;585.90375;1367.0963;1.0
4;377197098469470;592.50555;1348.4833;1.0
4;377197098469470;601.5272;1292.6638;1.0
4;377197098469470;604.0;1224.6157;1.0
4;377197098469470;599.28955;1155.2816;1.0
1;377197214840876;594.20953;1096.0382;1.0
1;377197214840876;592.1207;1046.6566;1.0
1;377197214840876;592.90405;1003.91943;1.0
1;377197214840876;595.8253;967.57227;1.0
1;377197214840876;599.8055;932.65344;1.0
1;377197214840876;602.8977;899.63666;1.0
1;377197214840876;604.0;872.36145;1.0
2;377197481199365;604.0;849.00946;1.0
2;377197481199365;604.0;829.95844;1.0
2;377197481199365;604.0;813.8223;1.0
2;377197481199365;604.0;798.68964;1.0
2;377197481199365;604.0;786.4865;1.0
2;377197481199365;604.0;777.56287;1.0
2;377197481199365;604.0;771.309;1.0
2;377197481199365;604.0;767.1765;1.0
2;377197481199365;605.88745;763.22504;1.0
2;377197481199365;609.81036;759.18964;1.0
2;377197481199365;615.69135;756.1029;1.0
2;377197481199365;625.0089;754.16516;1.0
2;377197481199365;641.30444;752.16956;1.0
2;377197481199365;674.97363;750.1513;1.0
2;377197481199365;726.3864;750.0;1.0
2;377197481199365;771.5947;750.79974;1.0
5;377197747812542;809.4137;753.8017;1.0
5;377197747812542;833.5731;757.74054;1.0
5;377197747812542;848.4583;761.81946;1.0
5;377197747812542;856.7453;765.8302;1.0
5;377197747812542;861.78485;769.78485;1.0
5;377197747812542;863.9019;773.80383;1.0
5;377197747812542;865.9012;779.7036;1.0
5;377197747812542;867.0;786.667;1.0
5;377197747812542;867.0;794.56946;1.0
5;377197747812542;865.13257;804.20465;1.0
5;377197747812542;859.53076;829.877;1.0
5;377197747812542;847.98114;867.566;1.0
5;377197747812542;834.6098;910.8658;1.0
5;377197747812542;824.5189;948.13184;1.0
5;377197747812542;817.4657;983.2058;1.0
5;377197747812542;815.12256;1016.0388;1.0
8;377197945451969;814.0;1047.2593;1.0
8;377197945451969;814.0;1076.277;1.0
8;377197945451969;814.0;1105.714;1.0
8;377197945451969;814.0;1130.9208;1.0
8;377197945451969;814.0;1152.0835;1.0
8;377197945451969;814.0;1171.9716;1.0
8;377197945451969;814.0;1191.2465;1.0
8;377197945451969;814.0;1208.8333;1.0
8;377197945451969;812.12604;1226.8656;1.0
8;377197945451969;811.0;1246.7231;1.0
8;377197945451969;810.14526;1263.8378;1.0
8;377197945451969;809.1007;1277.3958;1.0
