number_of_activated_point;timestamp;xpoint;ypoint;pressure
0;101841928410730;283.9098;840.6767;1.0
0;101841928410730;287.9171;813.5387;1.0
0;101841928410730;292.0;774.14856;1.0
0;101841928410730;292.0;764.0487;1.0
0;101841928410730;292.0;760.0809;1.0
0;101841928410730;292.0;758.5;1.0
0;101841928410730;270.0;744.0;1.0
3;101842197222084;270.0;744.0;1.0
3;101842197222084;265.52866;760.9911;1.0
3;101842197222084;259.28748;794.371;1.0
3;101842197222084;255.21466;827.17535;1.0
3;101842197222084;251.36118;859.11053;1.0
3;101842197222084;247.26498;889.14514;1.0
3;101842197222084;245.10753;914.7097;1.0
3;101842197222084;243.12183;933.0254;1.0
3;101842197222084;242.0;947.2179;1.0
3;101842197222084;242.0;962.1337;1.0
3;101842197222084;243.9141;979.22687;1.0
3;101842197222084;245.8574;996.7167;1.0
7;101842725288230;249.6911;1013.7644;1.0
7;101842725288230;252.74527;1027.2358;1.0
7;101842725288230;254.86697;1038.3348;1.0
7;101842725288230;256.9082;1046.6328;1.0
7;101842725288230;258.8966;1052.6898;1.0
7;101842725288230;260.91714;1058.7515;1.0
7;101842725288230;262.9118;1064.7354;1.0
7;101842725288230;264.91162;1070.7349;1.0
7;101842725288230;266.8931;1074.7863;1.0
7;101842725288230;268.8845;1078.769;1.0
7;101842725288230;270.87213;1082.7443;1.0
7;101842725288230;272.89896;1085.8989;1.0
7;101842725288230;274.903;1087.903;1.0
7;101842725288230;276.90308;1090.9031;1.0
7;101842725288230;279.87424;1094.7484;1.0
7;101842725288230;283.75546;1098.7555;1.0
7;101842725288230;288.72983;1103.7299;1.0
7;101842725288230;294.694;1109.694;1.0
7;101842725288230;301.60544;1116.6055;1.0
7;101842725288230;309.36053;1124.3606;1.0
7;101842725288230;318.23557;1132.3884;1.0
7;101842725288230;329.33737;1141.4478;1.0
7;101842725288230;341.2932;1151.411;1.0
7;101842725288230;355.30984;1162.4084;1.0
7;101842725288230;370.0677;1176.1842;1.0
7;101842725288230;388.13147;1192.228;1.0
7;101842725288230;408.12012;1208.2961;1.0
7;101842725288230;426.6454;1221.9464;1.0
7;101842725288230;444.02066;1235.2655;1.0
7;101842725288230;460.60544;1248.7798;1.0
7;101842725288230;478.1103;1264.2216;1.0
7;101842725288230;493.4049;1278.6042;1.0
8;101843075129532;511.0824;1295.1843;1.0
8;101843075129532;528.19995;1310.2999;1.0
8;101843075129532;545.23126;1323.4235;1.0
8;101843075129532;560.33026;1334.5216;1.0
8;101843075129532;573.3631;1343.5754;1.0
8;101843075129532;584.4872;1349.6923;1.0
8;101843075129532;592.55115;1353.7756;1.0
8;101843075129532;599.6906;1356.8969;1.0
8;101843075129532;604.7472;1358.8735;1.0
8;101843075129532;608.82043;1360.0;1.0
8;101843075129532;610.88293;1360.0;1.0
8;101843075129532;612.8999;1360.0;1.0
8;101843075129532;614.90424;1360.0;1.0
8;101843075129532;616.8517;1360.0;1.0
8;101843075129532;619.75745;1360.0;1.0
8;101843075129532;624.63446;1360.8782;1.0
8;101843075129532;635.2245;1362.8707;1.0
8;101843075129532;654.9656;1364.906;1.0
8;101843075129532;682.7563;1366.0;1.0
8;101843075129532;715.77795;1366.9281;1.0
8;101843075129532;749.4655;1368.0;1.0
