number_of_activated_point;timestamp;xpoint;ypoint;pressure
2;96012561350553;778.92694;1093.0;1.0
2;96012561350553;815.22546;1093.0;1.0
2;96012561350553;829.31555;1093.0;1.0
2;96012561350553;849.0;1089.0;1.0
2;96012561350553;931.0;880.0;1.0
2;96012561350553;931.0;880.0;1.0
2;96012561350553;900.9924;861.12067;1.0
1;96012663590240;871.4127;845.6593;1.0
1;96012663590240;839.4811;834.4628;1.0
1;96012663590240;803.9208;825.40436;1.0
1;96012663590240;754.0163;815.6241;1.0
1;96012663590240;677.72546;796.20886;1.0
1;96012663590240;591.1354;776.0748;1.0
0;96012760437688;518.5391;767.3217;1.0
0;96012760437688;463.1493;767.914;1.0
0;96012760437688;421.66537;776.56177;1.0
0;96012760437688;386.59286;789.3441;1.0
0;96012760437688;351.38666;806.30664;1.0
0;96012760437688;307.77957;835.5587;1.0
3;96012892828938;255.76358;880.347;1.0
3;96012892828938;208.30005;934.17725;1.0
3;96012892828938;176.10555;985.959;1.0
3;96012892828938;160.63039;1027.7937;1.0
3;96012892828938;157.0;1062.6012;1.0
3;96012892828938;160.75143;1084.2543;1.0
3;96012892828938;168.5018;1094.5018;1.0
3;96012892828938;187.87637;1103.6255;1.0
4;96012975973990;219.38301;1109.7146;1.0
4;96012975973990;262.88812;1113.824;1.0
4;96012975973990;324.0854;1114.0857;1.0
4;96012975973990;398.8656;1109.318;1.0
4;96012975973990;485.14233;1098.5383;1.0
5;96013042826907;572.8504;1083.772;1.0
5;96013042826907;649.27423;1069.7245;1.0
5;96013042826907;707.63293;1058.4734;1.0
5;96013042826907;745.2844;1051.3217;1.0
8;96013292171646;770.016;1048.0895;1.0
8;96013292171646;789.1769;1047.0;1.0
8;96013292171646;803.35095;1047.9072;1.0
8;96013292171646;815.4031;1050.801;1.0
8;96013292171646;824.6557;1054.8279;1.0
8;96013292171646;831.7066;1058.8044;1.0
8;96013292171646;837.71094;1064.7109;1.0
8;96013292171646;842.83716;1070.7557;1.0
8;96013292171646;846.83276;1078.6655;1.0
8;96013292171646;852.7185;1094.0616;1.0
8;96013292171646;855.8977;1125.1584;1.0
8;96013292171646;855.0846;1172.9697;1.0
8;96013292171646;851.18195;1219.9073;1.0
8;96013292171646;847.17944;1259.385;1.0
8;96013292171646;845.0958;1289.6582;1.0
