number_of_activated_point;timestamp;xpoint;ypoint;pressure
0;96933765891650;768.72955;1364.0;1.0
0;96933765891650;792.1452;1364.0;1.0
0;96933765891650;811.87854;1362.1401;1.0
0;96933765891650;819.0;1361.0;1.0
0;96933765891650;819.0;1361.0;1.0
0;96933765891650;351.0;778.0;1.0
0;96933765891650;351.0;778.0;1.0
0;96933765891650;351.0;778.0;1.0
0;96933765891650;351.0;778.0;1.0
0;96933765891650;343.3527;798.1182;1.0
3;96933898111702;335.54962;819.35114;1.0
3;96933898111702;325.51688;846.5528;1.0
3;96933898111702;314.64282;874.39294;1.0
3;96933898111702;303.53574;906.48206;1.0
3;96933898111702;293.43124;934.8788;1.0
3;96933898111702;286.31216;959.7513;1.0
3;96933898111702;281.18448;983.89307;1.0
3;96933898111702;278.08643;1003.22205;1.0
1;96934464232535;276.08258;1016.5045;1.0
1;96934464232535;274.0846;1028.4924;1.0
1;96934464232535;274.0;1041.3586;1.0
1;96934464232535;273.09152;1053.4509;1.0
1;96934464232535;273.0;1065.468;1.0
1;96934464232535;273.0;1073.6572;1.0
1;96934464232535;273.0;1078.8027;1.0
1;96934464232535;273.0;1082.8304;1.0
1;96934464232535;273.0;1084.9138;1.0
1;96934464232535;273.0;1086.9043;1.0
1;96934464232535;273.92313;1088.9231;1.0
1;96934464232535;275.9083;1090.9083;1.0
1;96934464232535;277.91107;1092.911;1.0
1;96934464232535;279.91666;1094.0;1.0
1;96934464232535;281.90607;1094.0;1.0
1;96934464232535;283.5;1094.0;1.0
1;96934464232535;285.5;1094.0;1.0
1;96934464232535;285.0;1094.0;1.0
1;96934464232535;286.94406;1094.0;1.0
1;96934464232535;288.91452;1094.0;1.0
1;96934464232535;291.812;1093.094;1.0
1;96934464232535;296.66006;1090.2266;1.0
1;96934464232535;305.56042;1080.5275;1.0
1;96934464232535;319.35236;1062.9252;1.0
1;96934464232535;337.10498;1041.074;1.0
1;96934464232535;360.6401;1012.6737;1.0
1;96934464232535;386.78326;980.49756;1.0
1;96934464232535;412.7652;948.5198;1.0
1;96934464232535;438.52536;918.5881;1.0
1;96934464232535;468.22525;888.7747;1.0
1;96934464232535;503.75305;854.99725;1.0
5;96934995246389;537.7104;825.1284;1.0
5;96934995246389;566.8916;799.02313;1.0
5;96934995246389;586.34106;780.65894;1.0
5;96934995246389;596.6571;769.42865;1.0
5;96934995246389;601.82855;763.17145;1.0
5;96934995246389;603.91144;760.08856;1.0
5;96934995246389;604.0;758.0936;1.0
5;96934995246389;604.0;756.5;1.0
5;96934995246389;604.0;763.6362;1.0
5;96934995246389;603.0795;779.28406;1.0
5;96934995246389;603.0;798.14154;1.0
5;96934995246389;603.9143;821.8862;1.0
5;96934995246389;606.80927;850.66504;1.0
5;96934995246389;613.65985;880.7244;1.0
5;96934995246389;621.6605;908.8966;1.0
5;96934995246389;631.4621;930.92426;1.0
5;96934995246389;642.5068;950.178;1.0
5;96934995246389;655.4922;972.069;1.0
5;96934995246389;667.5044;993.174;1.0
5;96934995246389;678.59875;1010.35803;1.0
5;96934995246389;687.6699;1023.5048;1.0
5;96934995246389;695.6387;1032.6387;1.0
5;96934995246389;701.74414;1039.7441;1.0
5;96934995246389;707.70844;1045.7084;1.0
5;96934995246389;714.63184;1051.7239;1.0
5;96934995246389;720.71606;1057.7161;1.0
5;96934995246389;726.7451;1061.8301;1.0
5;96934995246389;730.8381;1064.9191;1.0
5;96934995246389;734.8391;1066.9196;1.0
5;96934995246389;738.8327;1068.0;1.0
2;96935361976701;742.837;1068.9185;1.0
2;96935361976701;747.77386;1069.0;1.0
2;96935361976701;753.7503;1069.9167;1.0
2;96935361976701;757.8357;1070.0;1.0
2;96935361976701;761.82697;1070.0;1.0
2;96935361976701;764.9017;1070.0;1.0
2;96935361976701;766.90247;1070.0;1.0
2;96935361976701;768.0;1070.0;1.0
2;96935361976701;768.0;1070.0;1.0
2;96935361976701;768.0;1070.0;1.0
2;96935361976701;768.0;1070.0;1.0
2;96935361976701;768.0;1070.0;1.0
2;96935361976701;769.91437;1069.0856;1.0
2;96935361976701;774.7436;1063.3419;1.0
2;96935361976701;786.39734;1043.1193;1.0
2;96935361976701;802.35065;1004.78577;1.0
2;96935361976701;819.15295;957.3529;1.0
2;96935361976701;835.3353;907.077;1.0
2;96935361976701;849.39667;861.8962;1.0
