number_of_activated_point;timestamp;xpoint;ypoint;pressure
0;90009127433974;754.75183;1351.062;1.0
0;90009127433974;767.84515;1347.0516;1.0
0;90009127433974;775.80695;1344.0966;1.0
0;90009127433974;786.6814;1340.1062;1.0
0;90009127433974;802.5808;1336.1049;1.0
0;90009127433974;816.72516;1332.0917;1.0
0;90009127433974;820.8226;1330.0887;1.0
0;90009127433974;265.0;760.0;1.0
3;90009274882411;265.0;760.0;1.0
3;90009274882411;265.0;760.0;1.0
3;90009274882411;265.0;788.19226;1.0
3;90009274882411;266.0;826.6689;1.0
3;90009274882411;267.0;874.46783;1.0
3;90009274882411;266.13742;935.3274;1.0
3;90009274882411;262.25864;1003.474;1.0
6;90009424605067;259.1325;1065.157;1.0
6;90009424605067;258.0;1115.3938;1.0
6;90009424605067;258.0;1152.8444;1.0
6;90009424605067;258.8926;1184.389;1.0
6;90009424605067;261.71008;1208.2604;1.0
6;90009424605067;268.5162;1232.5486;1.0
6;90009424605067;277.36072;1253.7214;1.0
6;90009424605067;288.2807;1269.9929;1.0
6;90009424605067;301.06613;1282.1996;1.0
7;90009591131890;317.59238;1291.3744;1.0
7;90009591131890;335.10626;1298.6648;1.0
7;90009591131890;351.17047;1303.7926;1.0
7;90009591131890;368.07648;1306.8845;1.0
7;90009591131890;385.0238;1309.7831;1.0
7;90009591131890;402.92554;1313.7612;1.0
7;90009591131890;420.79453;1317.7322;1.0
7;90009591131890;438.88998;1321.7533;1.0
7;90009591131890;454.04114;1324.863;1.0
7;90009591131890;467.18542;1326.0;1.0
4;90009772152932;478.39777;1325.1205;1.0
4;90009772152932;488.45956;1320.3242;1.0
4;90009772152932;498.51596;1311.484;1.0
4;90009772152932;508.3056;1299.9722;1.0
4;90009772152932;518.2934;1285.1306;1.0
4;90009772152932;525.69794;1267.9061;1.0
4;90009772152932;530.7829;1249.9769;1.0
4;90009772152932;534.7901;1228.2594;1.0
4;90009772152932;538.7933;1199.6537;1.0
4;90009772152932;542.7989;1162.9105;1.0
4;90009772152932;544.90564;1123.7931;1.0
1;90009921501682;545.0;1088.5476;1.0
1;90009921501682;544.09247;1059.2946;1.0
1;90009921501682;542.09467;1031.325;1.0
1;90009921501682;540.09674;1004.3542;1.0
1;90009921501682;539.0;971.6796;1.0
1;90009921501682;539.0;936.99915;1.0
1;90009921501682;539.0;905.4565;1.0
1;90009921501682;539.0;882.093;1.0
1;90009921501682;539.0;863.8197;1.0
