number_of_activated_point;timestamp;xpoint;ypoint;pressure
7;92019988773948;258.49338;1296.8159;1.0
7;92019988773948;251.28464;1317.1461;1.0
7;92019988773948;246.18399;1332.3561;1.0
7;92019988773948;237.08965;1359.8207;1.0
7;92019988773948;234.0;1367.919;1.0
7;92019988773948;234.0;1368.0;1.0
7;92019988773948;580.0;1403.0;1.0
4;92020165235770;580.0;1403.0;1.0
4;92020165235770;580.0;1403.0;1.0
4;92020165235770;571.5628;1372.6732;1.0
4;92020165235770;565.4672;1328.582;1.0
4;92020165235770;559.5729;1279.774;1.0
4;92020165235770;554.50934;1229.2443;1.0
4;92020165235770;548.444;1183.256;1.0
4;92020165235770;544.27985;1142.7982;1.0
1;92020282398322;541.1049;1100.3082;1.0
1;92020282398322;541.0;1051.2106;1.0
1;92020282398322;543.7888;986.37915;1.0
1;92020282398322;545.8877;936.3589;1.0
1;92020282398322;547.8918;906.4068;1.0
1;92020282398322;549.8816;887.0657;1.0
1;92020282398322;550.0;874.523;1.0
0;92020713553218;550.0;865.43695;1.0
0;92020713553218;550.0;857.3998;1.0
0;92020713553218;550.0;850.32355;1.0
0;92020713553218;550.0;844.2843;1.0
0;92020713553218;550.0;838.2613;1.0
0;92020713553218;550.0;834.2061;1.0
0;92020713553218;550.0;830.2315;1.0
0;92020713553218;550.0;825.3478;1.0
0;92020713553218;550.0;821.20935;1.0
0;92020713553218;550.0;817.25464;1.0
0;92020713553218;550.0;814.08887;1.0
0;92020713553218;550.0;812.10736;1.0
0;92020713553218;549.11224;810.11224;1.0
0;92020713553218;547.12;808.12;1.0
0;92020713553218;545.10956;806.10956;1.0
0;92020713553218;541.21014;804.10504;1.0
0;92020713553218;534.534;800.267;1.0
0;92020713553218;523.98;798.1633;1.0
0;92020713553218;508.69528;795.18835;1.0
0;92020713553218;489.24738;793.12476;1.0
0;92020713553218;466.0526;791.0877;1.0
0;92020713553218;439.52826;789.10913;1.0
0;92020713553218;411.526;787.109;1.0
0;92020713553218;384.36792;785.1052;1.0
0;92020713553218;359.27295;783.1061;1.0
0;92020713553218;337.1602;781.116;1.0
3;92021244978791;317.1639;779.1164;1.0
3;92021244978791;302.01105;779.0;1.0
3;92021244978791;288.74054;779.0;1.0
3;92021244978791;278.52048;779.0;1.0
3;92021244978791;270.41763;780.89557;1.0
3;92021244978791;263.31055;781.8965;1.0
3;92021244978791;258.17728;782.0;1.0
3;92021244978791;254.17162;782.0;1.0
3;92021244978791;251.10078;782.0;1.0
3;92021244978791;249.10779;782.0;1.0
3;92021244978791;247.16457;782.0;1.0
3;92021244978791;245.14452;783.0;1.0
3;92021244978791;243.11961;783.0;1.0
3;92021244978791;241.09955;784.0;1.0
3;92021244978791;239.09885;784.0;1.0
3;92021244978791;238.0;785.8989;1.0
3;92021244978791;238.0;786.5;1.0
3;92021244978791;238.0;787.9562;1.0
3;92021244978791;238.0;788.94946;1.0
3;92021244978791;238.0;790.8687;1.0
3;92021244978791;238.0;792.84393;1.0
3;92021244978791;238.0;794.89856;1.0
3;92021244978791;239.87341;796.8734;1.0
3;92021244978791;241.87494;800.7499;1.0
3;92021244978791;245.71448;809.14343;1.0
3;92021244978791;251.61678;833.08386;1.0
3;92021244978791;255.79454;866.1508;1.0
3;92021244978791;258.8735;907.3436;1.0
3;92021244978791;261.8383;945.76587;1.0
3;92021244978791;265.78818;984.0936;1.0
3;92021244978791;267.83322;1010.9988;1.0
5;92021797688322;269.91605;1031.2445;1.0
5;92021797688322;270.0;1045.4912;1.0
5;92021797688322;270.0;1054.7118;1.0
5;92021797688322;270.0;1061.7406;1.0
5;92021797688322;270.0;1067.7715;1.0
5;92021797688322;270.0;1071.8259;1.0
5;92021797688322;270.0;1073.8928;1.0
5;92021797688322;270.0;1075.9083;1.0
5;92021797688322;270.0;1077.9131;1.0
5;92021797688322;270.0;1079.5;1.0
5;92021797688322;270.0;1080.0;1.0
5;92021797688322;277.601;1077.1995;1.0
5;92021797688322;297.59225;1073.2166;1.0
5;92021797688322;343.31998;1071.0;1.0
5;92021797688322;402.64484;1073.7836;1.0
5;92021797688322;474.62;1079.5753;1.0
5;92021797688322;560.46704;1085.5546;1.0
5;92021797688322;643.8409;1088.842;1.0
5;92021797688322;714.21344;1091.8298;1.0
5;92021797688322;774.93054;1091.1508;1.0
