Username;Attempt_number;Sequence;Seq_length;Time_to_complete;PatternLength;Avg_speed;Avg_pressure;Highest_pressure;Lowest_pressure;HandNum;FingerNum
noname;1;6785;4;665682344;121.42594948916336;1.824082470920445E-7;1.0;1.0;1.0;2;1
noname;2;6304258;7;1552244218;323.4130977639463;2.083519423126924E-7;1.0;1.0;1.0;2;1
noname;3;6425871;7;2226673333;204.4092675353828;9.18002944149791E-8;1.0;1.0;1.0;2;1
noname;4;2103476;7;2417398332;157.45801840566676;6.513532185463044E-8;1.0;1.0;1.0;2;1
noname;5;67854;5;1039266927;302.8465410398973;2.9140400138981556E-7;1.0;1.0;1.0;2;1
noname;6;741268;6;3640168748;250.36011213814137;6.877706212814873E-8;1.0;1.0;1.0;2;1
noname;7;6147;4;1371436145;214.6380329540775;1.565060347407407E-7;1.0;1.0;1.0;2;1
noname;8;674125;6;1764698541;219.14647334813546;1.241835181797974E-7;1.0;1.0;1.0;2;1
noname;9;63478510;8;2187918280;74.70949156834845;3.414638117487114E-8;1.0;1.0;1.0;2;1
noname;10;0143652;7;2323186718;304.0260643813192;1.30865961838423E-7;1.0;1.0;1.0;2;1
noname;11;6304258;7;1650836875;97.41155897495017;5.900738010528761E-8;1.0;1.0;1.0;2;1
noname;12;6785;4;634820417;195.36069194460785;3.077416647495883E-7;1.0;1.0;1.0;2;1
noname;13;67854;5;876428958;171.12768238041016;1.9525562319497226E-7;1.0;1.0;1.0;2;1
noname;14;6425871;7;1836108645;74.9685054808785;4.0830103210411334E-8;1.0;1.0;1.0;2;1
noname;15;6304258;7;1756513281;235.562255859375;1.341078706363479E-7;1.0;1.0;1.0;2;1
noname;16;6785;4;966242656;269.29926925233923;2.787077009901116E-7;1.0;1.0;1.0;2;1
noname;17;67854;5;855460833;196.02838156838098;2.2914945255989408E-7;1.0;1.0;1.0;2;1
noname;18;678543;6;1443073541;157.21285926188688;1.0894306824650379E-7;1.0;1.0;1.0;2;1
noname;19;6304752;7;2401035468;283.15784017450954;1.179315524274086E-7;1.0;1.0;1.0;2;1
noname;20;854127;6;2150832187;312.78441790646576;1.4542483592954794E-7;1.0;1.0;1.0;2;1
noname;21;854316;6;1827921874;134.8655289406851;7.378079493384579E-8;1.0;1.0;1.0;2;1
noname;22;741035;6;2254873489;198.05192664878064;8.783283302364492E-8;1.0;1.0;1.0;2;1
noname;23;642587;6;1343737187;194.98057214555826;1.4510320472775474E-7;1.0;1.0;1.0;2;1
noname;24;6304258;7;1418349062;161.304140556269;1.1372668751147593E-7;1.0;1.0;1.0;2;1
noname;25;6785;4;663103073;224.82711709780523;3.390530465808974E-7;1.0;1.0;1.0;2;1
noname;26;67854;5;882148958;192.88610208120875;2.1865479784561366E-7;1.0;1.0;1.0;2;1
