number_of_activated_point;timestamp;xpoint;ypoint;pressure
1;380139898211053;846.70374;1095.2714;1.0
1;380139898211053;850.83405;1061.1616;1.0
1;380139898211053;852.0;1017.2297;1.0
1;380139898211053;852.0;1011.0844;1.0
1;380139898211053;852.0;1009.12573;1.0
1;380139898211053;852.0;1007.12585;1.0
1;380139898211053;588.0;744.0;1.0
3;380140702989021;588.0;744.0;1.0
3;380140702989021;588.0;744.0;1.0
3;380140702989021;585.1653;756.28375;1.0
3;380140702989021;582.12695;780.4766;1.0
3;380140702989021;580.1462;804.24585;1.0
3;380140702989021;579.0;831.8994;1.0
3;380140702989021;578.1106;860.5623;1.0
3;380140702989021;576.11035;888.4554;1.0
3;380140702989021;575.1366;915.2245;1.0
3;380140702989021;575.0;935.99567;1.0
3;380140702989021;575.0;947.31213;1.0
3;380140702989021;575.0;954.695;1.0
3;380140702989021;575.0;959.8066;1.0
3;380140702989021;575.0;961.79156;1.0
3;380140702989021;575.0;963.5;1.0
3;380140702989021;575.0;963.0;1.0
3;380140702989021;575.0;963.0;1.0
3;380140702989021;575.0;963.0;1.0
3;380140702989021;575.0;963.0;1.0
3;380140702989021;573.10364;963.0;1.0
3;380140702989021;567.6035;963.8491;1.0
3;380140702989021;547.58734;967.7558;1.0
3;380140702989021;511.8709;970.80304;1.0
3;380140702989021;472.3516;975.6473;1.0
3;380140702989021;431.21014;986.3685;1.0
3;380140702989021;390.25272;1000.2491;1.0
3;380140702989021;352.20447;1013.30383;1.0
3;380140702989021;318.25876;1024.6067;1.0
4;380141036146781;292.72375;1033.7588;1.0
4;380141036146781;274.48682;1041.7566;1.0
4;380141036146781;261.44022;1049.7065;1.0
4;380141036146781;250.35954;1057.7124;1.0
4;380141036146781;241.48305;1064.6377;1.0
4;380141036146781;233.46512;1070.6511;1.0
4;380141036146781;227.17836;1074.8811;1.0
4;380141036146781;223.13441;1077.9327;1.0
4;380141036146781;219.1421;1079.929;1.0
4;380141036146781;217.09782;1081.9022;1.0
4;380141036146781;216.0;1083.8986;1.0
4;380141036146781;216.0;1084.0;1.0
4;380141036146781;218.8223;1084.0;1.0
4;380141036146781;225.68985;1084.0;1.0
4;380141036146781;238.48933;1081.1459;1.0
4;380141036146781;267.20438;1079.0;1.0
4;380141036146781;318.58496;1079.0;1.0
4;380141036146781;376.64386;1079.0;1.0
4;380141036146781;431.83502;1079.0;1.0
4;380141036146781;479.62805;1079.0;1.0
5;380141269874437;517.9344;1079.0;1.0
5;380141269874437;548.9697;1079.0;1.0
5;380141269874437;573.09814;1079.0;1.0
5;380141269874437;592.26135;1079.0;1.0
5;380141269874437;609.46765;1079.0;1.0
5;380141269874437;624.5143;1079.0;1.0
5;380141269874437;637.59155;1079.0;1.0
5;380141269874437;650.6462;1078.059;1.0
5;380141269874437;664.6312;1077.0;1.0
5;380141269874437;679.49774;1075.0627;1.0
5;380141269874437;696.4834;1073.0646;1.0
5;380141269874437;714.4813;1071.0576;1.0
5;380141269874437;733.1905;1069.0809;1.0
5;380141269874437;754.246;1067.0686;1.0
7;380141950117250;775.4294;1065.057;1.0
7;380141950117250;794.4418;1063.062;1.0
7;380141950117250;811.67566;1062.0;1.0
7;380141950117250;827.6203;1061.0475;1.0
7;380141950117250;840.7163;1060.0;1.0
7;380141950117250;850.70233;1059.0;1.0
7;380141950117250;857.8526;1059.0;1.0
7;380141950117250;863.8051;1058.0;1.0
7;380141950117250;868.82;1058.0;1.0
7;380141950117250;871.94403;1057.056;1.0
7;380141950117250;873.9488;1057.0;1.0
7;380141950117250;875.9357;1057.0;1.0
7;380141950117250;877.9502;1055.0498;1.0
7;380141950117250;879.5;1055.0;1.0
7;380141950117250;879.0;1054.0;1.0
7;380141950117250;879.0;1054.0;1.0
7;380141950117250;877.05853;1054.9415;1.0
7;380141950117250;875.0515;1056.9485;1.0
7;380141950117250;872.10187;1060.8982;1.0
7;380141950117250;868.1158;1066.8263;1.0
7;380141950117250;864.09283;1070.9072;1.0
7;380141950117250;860.1439;1074.8561;1.0
7;380141950117250;856.1769;1076.9116;1.0
7;380141950117250;852.2176;1078.8912;1.0
7;380141950117250;849.0809;1080.9192;1.0
7;380141950117250;846.0476;1082.9524;1.0
7;380141950117250;843.1608;1084.9196;1.0
7;380141950117250;838.19366;1087.8708;1.0
7;380141950117250;829.23785;1097.7146;1.0
7;380141950117250;814.4326;1116.4052;1.0
7;380141950117250;792.9217;1141.0015;1.0
7;380141950117250;754.39026;1185.4111;1.0
7;380141950117250;706.4821;1238.3326;1.0
7;380141950117250;668.5321;1281.2877;1.0
7;380141950117250;639.62744;1314.276;1.0
7;380141950117250;620.56213;1336.3754;1.0
